nome, ocorrências, tipo, processo
AL/ALAGOAS,84,INTDO,ADI6573
AL/ALAGOAS,84,INTDO,ADI6646
AL/ALAGOAS,84,INTDO,ADPF0366
AL/ALAGOAS,84,INTDO,ADPF0434
AL/AMAPA,92,INTDO,ADI0825
AL/AMAPA,92,INTDO,ADI0826
AL/AMAPA,92,INTDO,ADI0827
AL/AMAPA,92,INTDO,ADI0845
AL/AMAPA,92,INTDO,ADI0860
AL/AMAPA,92,INTDO,ADI0861
AL/AMAPA,92,INTDO,ADI0862
AL/AMAPA,92,INTDO,ADI0863
AL/AMAPA,92,INTDO,ADI0887
AL/AMAPA,92,INTDO,ADI0973
AL/AMAPA,92,INTDO,ADI1143
AL/AMAPA,92,INTDO,ADI1148
AL/AMAPA,92,INTDO,ADI1159
AL/AMAPA,92,INTDO,ADI1228
AL/AMAPA,92,INTDO,ADI1267
AL/AMAPA,92,INTDO,ADI1300
AL/AMAPA,92,INTDO,ADI1389
AL/AMAPA,92,INTDO,ADI1461
AL/AMAPA,92,INTDO,ADI1474
AL/AMAPA,92,INTDO,ADI1478
AL/AMAPA,92,INTDO,ADI1528
AL/AMAPA,92,INTDO,ADI1608
AL/AMAPA,92,INTDO,ADI1654
AL/AMAPA,92,INTDO,ADI1655
AL/AMAPA,92,INTDO,ADI1690
AL/AMAPA,92,INTDO,ADI1694
AL/AMAPA,92,INTDO,ADI1957
AL/AMAPA,92,INTDO,ADI2057
AL/AMAPA,92,INTDO,ADI2074
AL/AMAPA,92,INTDO,ADI2235
AL/AMAPA,92,INTDO,ADI2330
AL/AMAPA,92,INTDO,ADI2434
AL/AMAPA,92,INTDO,ADI2464
AL/AMAPA,92,INTDO,ADI2574
AL/AMAPA,92,INTDO,ADI2584
AL/AMAPA,92,INTDO,ADI2660
AL/AMAPA,92,INTDO,ADI2682
AL/AMAPA,92,INTDO,ADI3029
AL/AMAPA,92,INTDO,ADI3030
AL/AMAPA,92,INTDO,ADI3061
AL/AMAPA,92,INTDO,ADI3084
AL/AMAPA,92,INTDO,ADI3116
AL/AMAPA,92,INTDO,ADI3175
AL/AMAPA,92,INTDO,ADI3176
AL/AMAPA,92,INTDO,ADI3177
AL/AMAPA,92,INTDO,ADI3178
AL/AMAPA,92,INTDO,ADI3179
AL/AMAPA,92,INTDO,ADI3180
AL/AMAPA,92,INTDO,ADI3181
AL/AMAPA,92,INTDO,ADI3182
AL/AMAPA,92,INTDO,ADI3370
AL/AMAPA,92,INTDO,ADI3585
AL/AMAPA,92,INTDO,ADI3627
AL/AMAPA,92,INTDO,ADI3628
AL/AMAPA,92,INTDO,ADI3629
AL/AMAPA,92,INTDO,ADI3694
AL/AMAPA,92,INTDO,ADI3696
AL/AMAPA,92,INTDO,ADI4478
AL/AMAPA,92,INTDO,ADI4723
AL/AMAPA,92,INTDO,ADI4724
AL/AMAPA,92,INTDO,ADI4726
AL/AMAPA,92,INTDO,ADI4727
AL/AMAPA,92,INTDO,ADI4728
AL/AMAPA,92,INTDO,ADI4729
AL/AMAPA,92,INTDO,ADI4760
AL/AMAPA,92,INTDO,ADI4765
AL/AMAPA,92,INTDO,ADI4787
AL/AMAPA,92,INTDO,ADI4807
AL/AMAPA,92,INTDO,ADI4808
AL/AMAPA,92,INTDO,ADI4820
AL/AMAPA,92,INTDO,ADI4898
AL/AMAPA,92,INTDO,ADI5008
AL/AMAPA,92,INTDO,ADI5171
AL/AMAPA,92,INTDO,ADI5184
AL/AMAPA,92,INTDO,ADI5286
AL/AMAPA,92,INTDO,ADI5300
AL/AMAPA,92,INTDO,ADI5328
AL/AMAPA,92,INTDO,ADI5475
AL/AMAPA,92,INTDO,ADI5647
AL/AMAPA,92,INTDO,ADI5656
AL/AMAPA,92,INTDO,ADI5699
AL/AMAPA,92,INTDO,ADI5711
AL/AMAPA,92,INTDO,ADI5765
AL/AMAPA,92,INTDO,ADI6160
AL/AMAPA,92,INTDO,ADI6211
AL/AMAPA,92,INTDO,ADPF0063
AL/AMAPA,92,INTDO,ADPF0064
AL/AMAPA,92,INTDO,ADPF0255
AL/AMAPA,92,INTDO,ADPF0256
AL/AMAPA,92,INTDO,ADPF0257
AL/AMAPA,92,INTDO,ADPF0258
AL/AMAPA,92,INTDO,ADPF0259
AL/AMAZONAS,92,INTDO,ADI0107
AL/AMAZONAS,92,INTDO,ADI0120
AL/AMAZONAS,92,INTDO,ADI0157
AL/AMAZONAS,92,INTDO,ADI0169
AL/AMAZONAS,92,INTDO,ADI0174
AL/AMAZONAS,92,INTDO,ADI0375
AL/AMAZONAS,92,INTDO,ADI0467
AL/AMAZONAS,92,INTDO,ADI0470
AL/AMAZONAS,92,INTDO,ADI0479
AL/AMAZONAS,92,INTDO,ADI0490
AL/AMAZONAS,92,INTDO,ADI0491
AL/AMAZONAS,92,INTDO,ADI0498
AL/AMAZONAS,92,INTDO,ADI0507
AL/AMAZONAS,92,INTDO,ADI0510
AL/AMAZONAS,92,INTDO,ADI0568
AL/AMAZONAS,92,INTDO,ADI0585
AL/AMAZONAS,92,INTDO,ADI0625
AL/AMAZONAS,92,INTDO,ADI0711
AL/AMAZONAS,92,INTDO,ADI0739
AL/AMAZONAS,92,INTDO,ADI0767
AL/AMAZONAS,92,INTDO,ADI0840
AL/AMAZONAS,92,INTDO,ADI1015
AL/AMAZONAS,92,INTDO,ADI1158
AL/AMAZONAS,92,INTDO,ADI1160
AL/AMAZONAS,92,INTDO,ADI1170
AL/AMAZONAS,92,INTDO,ADI1193
AL/AMAZONAS,92,INTDO,ADI1223
AL/AMAZONAS,92,INTDO,ADI1294
AL/AMAZONAS,92,INTDO,ADI1343
AL/AMAZONAS,92,INTDO,ADI1714
AL/AMAZONAS,92,INTDO,ADI1808
AL/AMAZONAS,92,INTDO,ADI1889
AL/AMAZONAS,92,INTDO,ADI2087
AL/AMAZONAS,92,INTDO,ADI2116
AL/AMAZONAS,92,INTDO,ADI2120
AL/AMAZONAS,92,INTDO,ADI2183
AL/AMAZONAS,92,INTDO,ADI2211
AL/AMAZONAS,92,INTDO,ADI2728
AL/AMAZONAS,92,INTDO,ADI2739
AL/AMAZONAS,92,INTDO,ADI2969
AL/AMAZONAS,92,INTDO,ADI2977
AL/AMAZONAS,92,INTDO,ADI2985
AL/AMAZONAS,92,INTDO,ADI3008
AL/AMAZONAS,92,INTDO,ADI3009
AL/AMAZONAS,92,INTDO,ADI3125
AL/AMAZONAS,92,INTDO,ADI3295
AL/AMAZONAS,92,INTDO,ADI3394
AL/AMAZONAS,92,INTDO,ADI3415
AL/AMAZONAS,92,INTDO,ADI3604
AL/AMAZONAS,92,INTDO,ADI3636
AL/AMAZONAS,92,INTDO,ADI3659
AL/AMAZONAS,92,INTDO,ADI3879
AL/AMAZONAS,92,INTDO,ADI3900
AL/AMAZONAS,92,INTDO,ADI4030
AL/AMAZONAS,92,INTDO,ADI4080
AL/AMAZONAS,92,INTDO,ADI4088
AL/AMAZONAS,92,INTDO,ADI4217
AL/AMAZONAS,92,INTDO,ADI4251
AL/AMAZONAS,92,INTDO,ADI4380
AL/AMAZONAS,92,INTDO,ADI4427
AL/AMAZONAS,92,INTDO,ADI4539
AL/AMAZONAS,92,INTDO,ADI4540
AL/AMAZONAS,92,INTDO,ADI4547
AL/AMAZONAS,92,INTDO,ADI4771
AL/AMAZONAS,92,INTDO,ADI4832
AL/AMAZONAS,92,INTDO,ADI4877
AL/AMAZONAS,92,INTDO,ADI4914
AL/AMAZONAS,92,INTDO,ADI4956
AL/AMAZONAS,92,INTDO,ADI5258
AL/AMAZONAS,92,INTDO,ADI5335
AL/AMAZONAS,92,INTDO,ADI5387
AL/AMAZONAS,92,INTDO,ADI5457
AL/AMAZONAS,92,INTDO,ADI5536
AL/AMAZONAS,92,INTDO,ADI5597
AL/AMAZONAS,92,INTDO,ADI5650
AL/AMAZONAS,92,INTDO,ADI5670
AL/AMAZONAS,92,INTDO,ADI5672
AL/AMAZONAS,92,INTDO,ADI5733
AL/AMAZONAS,92,INTDO,ADI5800
AL/AMAZONAS,92,INTDO,ADI6087
AL/AMAZONAS,92,INTDO,ADI6088
AL/AMAZONAS,92,INTDO,ADI6097
AL/AMAZONAS,92,INTDO,ADI6366
AL/AMAZONAS,92,INTDO,ADI6515
AL/AMAZONAS,92,INTDO,ADI6532
AL/AMAZONAS,92,INTDO,ADI6579
AL/AMAZONAS,92,INTDO,ADI6588
AL/AMAZONAS,92,INTDO,ADI6592
AL/AMAZONAS,92,INTDO,ADI6645
AL/AMAZONAS,92,INTDO,ADPF0597
AL/AMAZONAS,92,INTDO,ADPF0713
AL/AMAZONAS,92,INTDO,ADPF0745
AL/BAHIA,98,INTDO,ADI0060
AL/BAHIA,98,INTDO,ADI0111
AL/BAHIA,98,INTDO,ADI0112
AL/BAHIA,98,INTDO,ADI0202
AL/BAHIA,98,INTDO,ADI0383
AL/BAHIA,98,INTDO,ADI0461
AL/BAHIA,98,INTDO,ADI0462
AL/BAHIA,98,INTDO,ADI0463
AL/BAHIA,98,INTDO,ADI0472
AL/BAHIA,98,INTDO,ADI0476
AL/BAHIA,98,INTDO,ADI0620
AL/BAHIA,98,INTDO,ADI0777
AL/BAHIA,98,INTDO,ADI0874
AL/BAHIA,98,INTDO,ADI0938
AL/BAHIA,98,INTDO,ADI0963
AL/BAHIA,98,INTDO,ADI1014
AL/BAHIA,98,INTDO,ADI1057
AL/BAHIA,98,INTDO,ADI1061
AL/BAHIA,98,INTDO,ADI1266
AL/BAHIA,98,INTDO,ADI1430
AL/BAHIA,98,INTDO,ADI1530
AL/BAHIA,98,INTDO,ADI1783
AL/BAHIA,98,INTDO,ADI1798
AL/BAHIA,98,INTDO,ADI1904
AL/BAHIA,98,INTDO,ADI1920
AL/BAHIA,98,INTDO,ADI2038
AL/BAHIA,98,INTDO,ADI2077
AL/BAHIA,98,INTDO,ADI2109
AL/BAHIA,98,INTDO,ADI2131
AL/BAHIA,98,INTDO,ADI2157
AL/BAHIA,98,INTDO,ADI2187
AL/BAHIA,98,INTDO,ADI2240
AL/BAHIA,98,INTDO,ADI2475
AL/BAHIA,98,INTDO,ADI2532
AL/BAHIA,98,INTDO,ADI2559
AL/BAHIA,98,INTDO,ADI2632
AL/BAHIA,98,INTDO,ADI2967
AL/BAHIA,98,INTDO,ADI2994
AL/BAHIA,98,INTDO,ADI3013
AL/BAHIA,98,INTDO,ADI3134
AL/BAHIA,98,INTDO,ADI3188
AL/BAHIA,98,INTDO,ADI3191
AL/BAHIA,98,INTDO,ADI3362
AL/BAHIA,98,INTDO,ADI3426
AL/BAHIA,98,INTDO,ADI3474
AL/BAHIA,98,INTDO,ADI3777
AL/BAHIA,98,INTDO,ADI3915
AL/BAHIA,98,INTDO,ADI4124
AL/BAHIA,98,INTDO,ADI4233
AL/BAHIA,98,INTDO,ADI4237
AL/BAHIA,98,INTDO,ADI4318
AL/BAHIA,98,INTDO,ADI4477
AL/BAHIA,98,INTDO,ADI4541
AL/BAHIA,98,INTDO,ADI4560
AL/BAHIA,98,INTDO,ADI4561
AL/BAHIA,98,INTDO,ADI4606
AL/BAHIA,98,INTDO,ADI4621
AL/BAHIA,98,INTDO,ADI4654
AL/BAHIA,98,INTDO,ADI4759
AL/BAHIA,98,INTDO,ADI4777
AL/BAHIA,98,INTDO,ADI4826
AL/BAHIA,98,INTDO,ADI4835
AL/BAHIA,98,INTDO,ADI4837
AL/BAHIA,98,INTDO,ADI4851
AL/BAHIA,98,INTDO,ADI4900
